Timestamp,log,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2021-04-30 10:59:21.325,257307065737:/aws/lambda/fib_node,35.32,36,128,68
2021-04-30 10:59:20.862,257307065737:/aws/lambda/compute_python,1014.15,1015,128,50
2021-04-30 10:59:20.847,257307065737:/aws/lambda/compute_python,1048.27,1049,128,50
2021-04-30 10:59:20.845,257307065737:/aws/lambda/fib_node,9.92,10,128,68
2021-04-30 10:59:20.810,257307065737:/aws/lambda/compute_python,1029.4,1030,128,50
2021-04-30 10:59:20.407,257307065737:/aws/lambda/fib_node,40.98,41,128,67
2021-04-30 10:59:20.374,257307065737:/aws/lambda/fib_python,611.29,612,128,48
2021-04-30 10:59:20.355,257307065737:/aws/lambda/fib_python,568.49,569,128,48
2021-04-30 10:59:20.354,257307065737:/aws/lambda/fib_python,585.1,586,128,47
2021-04-30 10:59:20.005,257307065737:/aws/lambda/fib_node,225.22,226,128,67
2021-04-30 10:59:19.997,257307065737:/aws/lambda/fib_node,221.32,222,128,67
2021-04-30 10:59:19.938,257307065737:/aws/lambda/fib_node,131.7,132,128,67
